iter	Passed	Remaining
0	148	148488
1	149	74803
2	151	50219
3	152	37917
4	153	30517
5	154	25581
6	155	22058
7	156	19413
8	157	17335
9	157	15633
10	158	14239
11	158	13079
12	159	12097
13	159	11254
14	160	10529
15	160	9892
16	161	9328
17	161	8826
18	162	8379
19	162	7975
20	163	7610
21	163	7277
22	164	6974
23	164	6695
24	165	6439
25	165	6203
26	166	5984
27	166	5780
28	166	5591
29	167	5415
30	167	5249
31	168	5093
32	168	4948
33	169	4812
34	169	4683
35	170	4560
36	170	4445
37	171	4335
38	171	4231
39	172	4133
40	172	4039
41	173	3950
42	173	3865
43	174	3783
44	174	3711
45	175	3641
46	176	3570
47	176	3501
48	177	3435
49	177	3372
50	177	3311
51	178	3253
52	178	3197
53	179	3142
54	179	3090
55	180	3039
56	180	2991
57	181	2943
58	181	2898
59	182	2854
60	182	2812
61	183	2770
62	183	2733
63	184	2695
64	184	2657
65	185	2621
66	185	2586
67	186	2552
68	186	2518
69	187	2486
70	187	2454
71	188	2424
72	188	2394
73	189	2367
74	189	2341
75	190	2314
76	190	2287
77	191	2261
78	191	2236
79	192	2211
80	192	2185
81	193	2161
82	193	2137
83	193	2115
84	194	2093
85	194	2071
86	195	2050
87	195	2030
88	196	2010
89	196	1990
90	197	1971
91	197	1952
92	198	1934
93	198	1917
94	199	1899
95	199	1881
96	200	1864
97	200	1848
98	201	1831
99	201	1815
100	202	1800
101	202	1784
102	203	1769
103	203	1754
104	204	1740
105	204	1726
106	205	1712
107	205	1698
108	206	1685
109	206	1671
110	207	1658
111	207	1645
112	208	1633
113	208	1620
114	209	1608
115	209	1596
116	209	1583
117	210	1572
118	210	1560
119	211	1549
120	211	1538
121	212	1527
122	212	1517
123	213	1507
124	213	1496
125	214	1486
126	214	1476
127	215	1466
128	215	1456
129	216	1447
130	216	1437
131	217	1428
132	217	1419
133	218	1410
134	218	1401
135	219	1392
136	219	1383
137	220	1375
138	220	1366
139	221	1358
140	221	1349
141	222	1341
142	222	1332
143	222	1324
144	223	1317
145	223	1308
146	224	1301
147	224	1293
148	225	1286
149	225	1278
150	226	1271
151	226	1265
152	227	1258
153	227	1251
154	228	1244
155	228	1237
156	229	1230
157	229	1224
158	230	1217
159	230	1211
160	231	1204
161	231	1198
162	232	1191
163	232	1185
164	233	1179
165	233	1173
166	234	1167
167	234	1161
168	234	1155
169	235	1149
170	235	1143
171	236	1138
172	236	1132
173	237	1126
174	237	1121
175	238	1115
176	238	1110
177	239	1105
178	239	1099
179	240	1094
180	240	1089
181	241	1084
182	241	1079
183	242	1074
184	242	1069
185	243	1064
186	243	1059
187	244	1054
188	244	1049
189	245	1045
190	245	1040
191	246	1035
192	246	1030
193	247	1026
194	247	1021
195	248	1017
196	248	1012
197	248	1008
198	249	1004
199	249	999
200	250	995
201	250	991
202	251	986
203	251	982
204	252	978
205	252	974
206	253	970
207	253	966
208	254	962
209	254	958
210	255	955
211	255	951
212	256	947
213	256	943
214	257	939
215	257	935
216	258	932
217	258	928
218	259	924
219	259	920
220	260	917
221	260	913
222	261	909
223	261	906
224	262	902
225	262	898
226	262	895
227	263	891
228	263	888
229	264	885
230	264	881
231	265	878
232	265	874
233	266	871
234	266	868
235	267	865
236	267	861
237	268	858
238	268	855
239	269	852
240	269	849
241	270	846
242	270	843
243	271	840
244	271	837
245	272	834
246	272	831
247	273	828
248	273	825
249	274	822
250	274	819
251	275	816
252	275	813
253	276	810
254	276	807
255	276	805
256	277	802
257	277	799
258	278	796
259	278	793
260	279	791
261	279	788
262	280	785
263	280	783
264	281	780
265	281	777
266	282	775
267	282	772
268	283	769
269	283	767
270	284	764
271	284	762
272	285	759
273	285	757
274	286	754
275	286	752
276	287	749
277	287	747
278	288	744
279	288	742
280	289	739
281	289	737
282	290	735
283	290	732
284	291	730
285	291	727
286	292	725
287	292	723
288	293	720
289	293	718
290	293	716
291	294	713
292	294	711
293	295	709
294	295	707
295	296	704
296	296	702
297	297	700
298	297	698
299	298	696
300	298	693
301	299	691
302	299	689
303	300	687
304	300	685
305	301	683
306	301	681
307	302	678
308	302	676
309	303	674
310	303	672
311	304	670
312	304	668
313	305	666
314	305	664
315	306	662
316	306	660
317	307	658
318	307	656
319	307	654
320	308	652
321	308	650
322	309	648
323	309	646
324	310	644
325	310	642
326	311	640
327	311	638
328	312	637
329	313	636
330	313	634
331	314	632
332	314	630
333	315	628
334	315	627
335	316	625
336	316	623
337	317	621
338	317	619
339	318	617
340	318	616
341	319	614
342	319	612
343	320	610
344	320	608
345	321	607
346	321	605
347	322	603
348	322	601
349	323	600
350	323	598
351	324	596
352	324	594
353	325	593
354	325	591
